Node_ID	Position	Filled_Area
outside_main_1	(633.5, 61.0)	12179
corridor_main_1	(1346.5, 150.5)	5797
corridor_main_2	(83.75, 452.0)	14128
corridor_main_3	(897.0, 689.5)	14128
room_1	(1584.5, 168.0)	12279
room_2	(970.5, 182.5)	15022
room_3	(414.0, 188.0)	13658
room_4	(1222.0, 193.5)	10192
room_5	(639.0, 200.5)	10338
room_6	(1407.5, 208.5)	11723
room_7	(1222.0, 292.5)	6791
room_8	(1586.0, 308.5)	11754
room_9	(410.0, 408.5)	12273
room_10	(639.0, 411.5)	11030
room_11	(1583.0, 426.0)	12262
room_12	(1576, 544)	12620
room_14	(1591.0, 633.5)	10074
room_15	(293, 729)	14938
room_17	(237.5, 873.0)	10432
room_18	(730.0, 940.0)	14911
room_19	(188.0, 967.5)	10822
room_20	(374.0, 1017.0)	13987
room_21	(1240.5, 1034.5)	13439
room_22	(1440.0, 1052.0)	5898
