Node_ID	Position	Filled_Area
outside_main_1	(108.0, 1063.5)	14195
corridor_main_1	(417.5, 254.5)	3420
corridor_main_2	(1152.0, 294.5)	14128
corridor_main_3	(154.0, 362.5)	5742
corridor_main_4	(283.0, 552.5)	14097
corridor_main_5	(791.0, 888.5)	14128
room_1	(813.0, 98.0)	11565
room_2	(578.5, 102.0)	10451
room_3	(226.0, 176.5)	7537
room_4	(795.5, 313.0)	12464
room_5	(573.0, 314.0)	11161
room_6	(365.5, 370.5)	3990
room_7	(153.5, 416.5)	2843
room_8	(862.0, 492.5)	11932
room_9	(892.0, 594.5)	11349
room_10	(920, 686)	11213
room_12	(979.0, 773.0)	10931
room_13	(1031.0, 865.5)	11416
room_14	(400.0, 873.5)	12194
room_15	(1092.5, 947.5)	11240
room_16	(1147, 1036)	11759
room_18	(1225.5, 1108.0)	8675
