Node_ID	Position	Filled_Area
outside_main_1	(771.5, 542.0)	853608
corridor_main_1	(469.0, 223.0)	3346
corridor_main_2	(177.5, 405.5)	22636
corridor_main_3	(1427.0, 680.5)	623628
corridor_main_4	(1220.0, 735.0)	4046
corridor_main_5	(1757.0, 737.0)	18193
room_1	(379.5, 107.5)	81114
room_2	(530.0, 291.5)	18605
room_3	(238.0, 335.5)	8792
room_4	(1424.0, 387.0)	85437
room_5	(531.5, 405.5)	16913
room_6	(1106.5, 426.5)	117302
room_7	(1741.75, 429.25)	108387
room_8	(206.5, 505.5)	17938
room_9	(534.5, 507.5)	16946
room_10	(206.5, 610.5)	16648
room_11	(533.0, 612.0)	17127
room_12	(206.5, 712.5)	16833
room_13	(531.5, 712.5)	17196
room_14	(1613.0, 807.0)	20162
room_15	(1802.5, 807.0)	2820
room_16	(206.5, 813.0)	16886
room_17	(533.0, 813.0)	17089
room_18	(1173.5, 828.0)	72613
room_19	(206.5, 919.5)	16800
room_20	(531.5, 919.5)	17092
room_21	(1629.5, 949.5)	17790
room_22	(533.0, 1024.0)	17061
room_23	(206.5, 1024.0)	16863
room_24	(1631.0, 1050.0)	17524
room_25	(1270.5, 1077.5)	48621
room_26	(530.0, 1120.0)	19567
room_27	(206.5, 1132.0)	19524
room_28	(1632.5, 1150.5)	17544
room_29	(1634.0, 1252.0)	17373
room_30	(548.0, 1263.0)	13452
room_31	(205.0, 1299.5)	28748
room_32	(680.5, 1299.5)	18557
room_33	(793.5, 1299.5)	16902
room_34	(890.5, 1299.5)	17072
room_35	(1038.0, 1299.5)	18832
room_36	(543.5, 1361.5)	16312
