Node_ID	Position	Filled_Area
outside_main_1	(108.0, 1063.5)	908275
corridor_main_1	(417.5, 254.5)	1209384
corridor_main_2	(1152.0, 294.5)	0
corridor_main_3	(154.0, 362.5)	-157778
corridor_main_4	(283.0, 552.5)	0
corridor_main_5	(791.0, 888.5)	22066
room_1	(813.0, 98.0)	-64960
room_2	(578.5, 102.0)	-34584
room_3	(226.0, 176.5)	101790
room_4	(795.5, 313.0)	78912
room_5	(573.0, 314.0)	10626
room_6	(365.5, 370.5)	61494
room_7	(153.5, 416.5)	7060
room_8	(862.0, 492.5)	175408
room_9	(892.0, 594.5)	237552
room_10	(920, 686)	926152
room_12	(979.0, 773.0)	379088
room_13	(1031.0, 865.5)	463866
room_14	(400.0, 873.5)	-49140
room_15	(1092.5, 947.5)	562202
room_16	(1147, 1036)	671541
room_18	(1225.5, 1108.0)	879428
