513,19,573,19,573,54,513,54
79,110,133,110,133,135,79,135
218,110,269,110,269,135,218,135
358,110,413,110,413,135,358,135
431,110,482,110,482,133,431,133
19,112,70,112,70,135,19,135
153,112,204,112,204,135,153,135
295,112,346,112,346,137,295,137
809,123,858,123,858,146,809,146
406,237,434,237,434,260,406,260
782,269,833,269,833,292,782,292
673,270,726,270,726,293,673,293
513,272,570,272,570,292,513,292
950,277,1002,277,1002,300,950,300
334,313,388,313,388,336,334,336
781,327,832,327,832,350,781,350
994,473,1045,473,1045,497,994,497
182,482,232,482,232,506,182,506
858,517,909,517,909,540,858,540
652,527,701,527,701,552,652,552
362,629,422,629,422,665,362,665
826,658,863,658,863,679,826,679
867,658,913,658,913,679,867,679
79,673,160,673,160,709,79,709
580,703,661,703,661,738,580,738
840,719,879,719,879,735,840,735
742,858,791,858,791,881,742,881
228,883,277,883,277,904,228,904
1059,934,1085,934,1085,957,1059,957
955,935,979,935,979,957,955,957
131,941,154,941,154,958,131,958
1002,983,1038,983,1038,1006,1002,1006
1039,1027,1083,1027,1083,1048,1039,1048
953,1039,978,1039,978,1059,953,1059
