Node_ID	Position	Filled_Area
outside_main_1	(543.0, 36.5)	129637
outside_main_2	(392.0, 647.0)	106404
corridor_main_1	(119.5, 691.0)	301913
corridor_main_2	(620.5, 720.5)	33387
corridor_main_3	(859.5, 727.0)	2277
room_1	(106.0, 122.5)	5696
room_2	(243.5, 122.5)	5764
room_3	(385.5, 122.5)	5646
room_4	(456.5, 121.5)	5853
room_5	(44.5, 123.5)	5103
room_6	(178.5, 123.5)	5743
room_7	(320.5, 124.5)	5937
room_8	(833.5, 134.5)	87978
room_9	(807.5, 280.5)	14581
room_10	(699.5, 281.5)	6547
room_11	(541.5, 282.0)	7803
room_12	(976.0, 288.5)	15720
room_13	(806.5, 338.5)	0
room_14	(1019.5, 485.0)	14798
room_15	(207.0, 494.0)	8568
room_16	(883.5, 528.5)	6355
room_17	(676.5, 539.5)	64036
room_18	(867, 668)	2732
room_20	(766.5, 869.5)	99347
room_21	(1072.0, 945.5)	2289
room_22	(967.0, 946.0)	3541
room_23	(142.5, 950.5)	10106
room_24	(1020.0, 994.5)	0
room_25	(1061.0, 1037.5)	2042
room_26	(965.5, 1049.0)	438
