spacing,nodes,corridor_nodes,edges,completeness,exit_reachability,mean_route_px,mean_route_rel_err_vs_ref
80,339,66,351,0.4919786096256685,0.7058823529411765,2166.332882581548,1.6330938524481835
60,375,101,413,1.0,1.0,988.5302388472873,0.046255727585102206
40,478,202,576,1.0,1.0,975.0424676518417,0.03619843844638809
30,627,352,801,1.0,1.0,947.3427554304153,0.02275472825276638
20,878,602,1118,1.0,1.0,954.1524432809254,0.0
