from,to,dist_normal,dist_accessible,ratio
1_room_1,2_room_11,1534.681211727771,5711.131705895499,3.7213798294082245
1_room_1,2_room_2,1309.1607439712993,6074.00874759783,4.6396202877062365
1_room_1,2_room_23,3605.283739019061,4400.312876949479,1.2205177721037657
1_room_1,2_room_26,3546.4297282483226,4178.61615370412,1.1782599611153302
1_room_10,2_room_17,1634.4195463468768,4909.335446065955,3.003718021507334
1_room_10,2_room_24,1857.0686982960535,4682.27897053036,2.5213278188505184
1_room_10,2_room_30,2400.658851472568,4169.30058121195,1.7367318053768839
1_room_10,2_room_5,4148.959095365871,4369.3165538577905,1.0531115042175387
1_room_11,2_room_1,1534.681211727771,5711.131705895499,3.7213798294082245
1_room_11,2_room_11,1503.1562894757817,5067.7778166796315,3.3714244168495573
1_room_11,2_room_12,1525.847898883688,5040.763798602766,3.3035820951030535
1_room_11,2_room_2,1277.6358217193103,5430.654858381962,4.25054993454547
1_room_11,2_room_21,1811.0302941114048,4735.651821315254,2.614893763352996
1_room_11,2_room_22,3604.269200314993,3624.626658806912,1.0056481515004871
1_room_11,2_room_25,1908.5081714751777,4633.1296986790285,2.427618476004669
1_room_11,2_room_32,2698.4780247986555,3876.825382022809,1.436671096223611
1_room_11,2_room_33,3477.2277163289364,3683.859344800552,1.0594242440612334
1_room_11,2_room_5,4087.0290376561957,4295.819774015233,1.0510861886312344
1_room_12,2_room_10,1449.0503062110174,5114.260578445323,3.529387873232719
1_room_12,2_room_34,2145.139149876713,4410.349422111019,2.0559735821168026
1_room_13,2_room_11,3616.941843287288,3936.9873579155983,1.0884851149106214
1_room_13,2_room_14,3498.1902499540656,3818.235764582376,1.09148888189615
1_room_13,2_room_2,3691.109431667207,4299.864399617929,1.1649246599756753
1_room_13,2_room_28,3043.803010493595,3363.8485251219054,1.1051465924453536
1_room_13,2_room_31,2547.426589598492,2867.472104226802,1.1256348331822796
1_room_13,2_room_9,3716.11851085371,4036.1640254820204,1.086123602811253
1_room_14,2_room_12,1647.0963055504658,4922.012205269543,2.9882965487100575
1_room_14,2_room_13,3498.1902499540647,3818.2357645823768,1.0914888818961503
1_room_14,2_room_21,1932.2787007781826,4616.9002279820315,2.38935523437829
1_room_14,2_room_33,3565.1077514673298,3565.1077514673298,1.0
1_room_15,2_room_1,1679.8108874377858,5566.555754120743,3.313799068543606
1_room_15,2_room_21,1956.15996982142,4591.0758695404975,2.3469838563149934
1_room_15,2_room_22,3480.0507070321555,3480.0507070321555,1.0
1_room_15,2_room_23,3612.383035958855,3612.383035958855,1.0
1_room_15,2_room_28,2244.852759876876,4350.063032111182,1.937794366678094
1_room_15,2_room_30,2622.586119855254,3951.2278495946357,1.5066151001411967
1_room_15,2_room_32,2843.607700508671,3732.2494302480527,1.3125050370275828
1_room_15,2_room_33,3539.2833930257957,3539.2833930257957,1.0
1_room_16,2_room_11,3961.856041229398,4166.754369600095,1.051717762139362
1_room_16,2_room_18,3714.144045929987,3919.0423743006836,1.0551670387138665
1_room_16,2_room_2,3871.1708158669326,4529.6314113024255,1.1700933972576546
1_room_16,2_room_22,1824.1464421295213,2723.6032117273753,1.493083641107137
1_room_16,2_room_23,2198.9455548554497,2855.935540654075,1.2987750125727024
1_room_16,2_room_26,1934.7820478108617,2634.238817408715,1.36151708684152
1_room_16,2_room_33,2259.947670618084,2782.8358977210155,1.2313718294901599
1_room_16,2_room_8,3908.9488900258784,4329.306348517797,1.1075372102112944
1_room_17,2_room_1,1742.7420612715366,5479.192555439264,3.144006607289632
1_room_17,2_room_11,1711.2171390195476,4835.838666223396,2.825964371180924
1_room_17,2_room_18,1953.210771204909,4588.126670923985,2.3490176987369535
1_room_17,2_room_27,3185.3578020128566,3185.3578020128566,1.0
1_room_17,2_room_28,2307.783933710627,4262.699833429703,1.8470965895736247
1_room_17,2_room_30,2685.517293689005,3863.8646509131568,1.438778539983072
1_room_17,2_room_33,3451.9201943443168,3451.9201943443168,1.0
1_room_17,2_room_4,1467.5483867371097,5095.601371446034,3.4721862784881643
1_room_17,2_room_7,1499.2521039084604,5023.873631112308,3.350919847312784
1_room_18,2_room_34,2364.4411726541684,4189.651444888474,1.7719415028564414
1_room_19,2_room_10,3623.130483572957,3793.782314580105,1.0471006583342424
1_room_19,2_room_23,2093.898076230212,2409.4667057915262,1.1507086868953307
1_room_19,2_room_27,1951.7692571664643,2069.804670527008,1.0604761105479779
1_room_19,2_room_33,2154.900191992846,2336.367062858467,1.0842112648835958
1_room_19,2_room_5,1844.978314486954,2948.327492073148,1.5980282634882945
1_room_2,2_room_1,1309.1607439712993,6074.00874759783,4.6396202877062365
1_room_2,2_room_11,1277.6358217193103,5430.654858381962,4.25054993454547
1_room_2,2_room_14,1398.8842283860881,5311.90326504874,3.797242943525895
1_room_2,2_room_21,1585.5098263549335,5098.528863017585,3.215703099575886
1_room_2,2_room_26,3289.3843382398613,3898.1393061905824,1.1850665368816293
1_room_2,2_room_7,1065.6707866082231,5618.6898232708745,5.272444261284321
1_room_20,2_room_12,1856.8065186717365,4682.016790906042,2.5215426291455048
1_room_20,2_room_15,1979.2445849738453,4564.45485720815,2.306160083428227
1_room_20,2_room_16,3603.109033532675,3808.007361903372,1.0568670907440745
1_room_20,2_room_19,3361.538527040824,3361.538527040824,1.0
1_room_20,2_room_20,2165.0735290518783,4350.283801286184,2.0093007202352364
1_room_20,2_room_26,3176.515256791528,3176.515256791528,1.0
1_room_20,2_room_27,3058.5499447723682,3058.5499447723682,1.0
1_room_20,2_room_32,3029.4366445867045,3518.0783743260854,1.1612978870551838
1_room_20,2_room_34,2453.4061602568554,4078.6164324911606,1.6624301750608454
1_room_20,2_room_7,1622.149874152743,4897.06577387182,3.018873811786092
1_room_21,2_room_11,1811.0302941114048,4735.651821315254,2.614893763352996
1_room_21,2_room_29,2606.8765024321656,4190.076673398704,1.6073169056874934
1_room_21,2_room_30,2785.330448780862,3763.6778060050146,1.351250013316149
1_room_21,2_room_31,2887.789210402305,3666.1365676264577,1.269530530282617
1_room_21,2_room_4,1567.361541828967,4995.414526537892,3.1871488442345615
1_room_22,2_room_14,3505.8750654736887,3505.8750654736887,1.0
1_room_22,2_room_21,3292.500663442534,3292.500663442534,1.0
1_room_22,2_room_28,3051.487826013218,3051.487826013218,1.0
1_room_22,2_room_5,1949.319438556318,2852.668616142511,1.4634177240110122
1_room_23,2_room_14,3638.207394400387,3638.207394400387,1.0
1_room_23,2_room_30,2784.98497242337,2784.98497242337,1.0
1_room_23,2_room_6,2095.749436239693,2911.779016284269,1.3893736369118346
1_room_24,2_room_12,1956.5579003766309,4581.768172610936,2.3417493403742156
1_room_24,2_room_13,3157.946217295458,3477.9917319237693,1.1013460941403892
1_room_24,2_room_14,2055.114697635502,4490.030597354579,2.1848077883538823
1_room_24,2_room_22,3165.631032815082,3165.631032815082,1.0
1_room_24,2_room_24,2364.576292461667,4149.786564695973,1.7549810416037765
1_room_24,2_room_28,2530.433085659804,4035.6433578941087,1.5948429463574711
1_room_24,2_room_31,3010.6252072596244,3539.2669369990053,1.1755920094154029
1_room_25,2_room_13,3182.293725286683,3502.3392399149943,1.1005707022218634
1_room_25,2_room_15,2053.637847185193,4488.553746904269,2.1856598294857488
1_room_25,2_room_18,2150.501803660539,4385.417703379616,2.0392532086766217
1_room_25,2_room_2,1682.9877037187061,4996.006740381357,2.968534309158796
1_room_25,2_room_22,3189.978540806307,3189.978540806307,1.0
1_room_25,2_room_3,3588.7682408359224,3844.4218922051095,1.0712371583264007
1_room_25,2_room_32,3103.8299067980515,3442.1772640222043,1.1090096324167442
1_room_25,2_room_7,1696.5431363640905,4821.164663567939,2.8417577839490207
1_room_25,2_room_9,1807.6848390416003,4732.30636624545,2.617882422886518
1_room_26,2_room_16,1934.7820478108615,2634.2388174087146,1.36151708684152
1_room_26,2_room_19,1829.7345691856242,2187.7699825461677,1.1956761485464515
1_room_26,2_room_20,3176.5152567915275,3176.5152567915275,1.0
1_room_26,2_room_21,3203.136269123874,3203.136269123874,1.0
1_room_26,2_room_28,2962.1234316945583,2962.1234316945583,1.0
1_room_26,2_room_30,2563.2882491780124,2563.2882491780124,1.0
1_room_26,2_room_31,2465.7470107994554,2465.7470107994554,1.0
1_room_26,2_room_32,2344.3098298314294,2344.3098298314294,1.0
1_room_26,2_room_9,3414.0814735627537,3634.4389320546734,1.0645437023686393
1_room_27,2_room_26,1904.781400277712,1904.781400277712,1.0
1_room_27,2_room_28,2864.1581196753987,2864.1581196753987,1.0
1_room_27,2_room_31,2367.7816987802953,2367.7816987802953,1.0
1_room_28,2_room_11,2099.723084166861,4494.638983885939,2.1405865458060362
1_room_28,2_room_2,1874.2026164103895,4857.516025588269,2.5917774220653587
1_room_28,2_room_22,3051.487826013219,3051.487826013219,1.0
1_room_28,2_room_27,2844.158119675399,2844.158119675399,1.0
1_room_28,2_room_29,2895.569292487622,3949.0638359693885,1.3638298507360862
1_room_28,2_room_32,3295.0448194897353,3303.6865492291163,1.00262264406489
1_room_29,2_room_11,2299.0024977965422,4522.202668763081,1.96702816682337
1_room_29,2_room_15,2444.1321735065576,4377.626716988324,1.791076098273283
1_room_29,2_room_27,2871.721804552542,2871.721804552542,1.0
1_room_29,2_room_28,2895.5692924876216,3949.0638359693885,1.3638298507360864
1_room_29,2_room_29,3094.8487061173028,3976.6275208465313,1.2849182297623458
1_room_29,2_room_4,2055.333745514104,4781.965373985719,2.3266125924427903
1_room_29,2_room_6,3313.0847746970926,3677.022697313742,1.1098486598942894
1_room_29,2_room_8,2111.2601041990165,4684.754647680784,2.2189377037738875
1_room_3,2_room_1,4240.5318464810125,4922.42389942158,1.1608034269348626
1_room_3,2_room_13,1541.498916350411,3148.2795514416803,2.0423495067355715
1_room_3,2_room_18,3775.704363537114,4031.3580149063014,1.067710187756779
1_room_3,2_room_25,3588.7682408359215,3844.4218922051086,1.0712371583264007
1_room_30,2_room_13,2644.9678279770487,2965.01334260536,1.1210016663503584
1_room_30,2_room_19,2748.3115194273087,2748.3115194273087,1.0
1_room_30,2_room_20,2808.4150639332875,3737.0567936726684,1.3306639896877581
1_room_30,2_room_21,2785.3304487808614,3763.677806005015,1.3512500133161494
1_room_30,2_room_22,2652.6526434966727,2652.6526434966727,1.0
1_room_30,2_room_7,2265.4914090341517,4283.8387662583045,1.8909092964005703
1_room_31,2_room_13,2547.426589598492,2867.472104226802,1.1256348331822796
1_room_31,2_room_17,2787.9760553104475,3766.323412534601,1.35091670007733
1_room_31,2_room_18,2821.908837952043,3750.550567691424,1.3290828240976518
