Node_ID	Position	Filled_Area
outside_main_1	(108.0, 1063.5)	160525
corridor_main_1	(417.5, 254.5)	410389
corridor_main_2	(1152.0, 294.5)	0
corridor_main_3	(154.0, 362.5)	20636
corridor_main_4	(283.0, 552.5)	0
corridor_main_5	(791.0, 888.5)	180761
room_1	(813.0, 98.0)	14676
room_2	(578.5, 102.0)	17036
room_3	(226.0, 176.5)	112710
room_4	(795.5, 313.0)	13758
room_5	(573.0, 314.0)	22112
room_6	(365.5, 370.5)	4574
room_7	(153.5, 416.5)	2940
room_8	(862.0, 492.5)	16377
room_9	(892.0, 594.5)	15195
room_10	(920, 686)	15130
room_12	(979.0, 773.0)	14993
room_13	(1031.0, 865.5)	15173
room_14	(400.0, 873.5)	136454
room_15	(1092.5, 947.5)	15031
room_16	(1147, 1036)	15143
room_18	(1225.5, 1108.0)	10318
