variant,subnode,route_px,stretch_vs_full
full,room_21_subnode_8,1169.3487975421526,1.0
full,room_21_subnode_9,1115.508778380201,1.0
full,room_21_subnode_10,1078.9109079300865,1.0
funneling,room_1_subnode_1,251.43519033148408,1.0
funneling,room_1_subnode_2,319.0369654561064,1.2402283502978346
funneling,room_1_subnode_3,314.99618465976687,1.0632355433921108
funneling,room_1_subnode_4,372.57200071340304,1.2613803849959986
funneling,room_1_subnode_5,371.03188756425453,1.198426852232693
funneling,room_1_subnode_6,371.0764842310067,1.0632468057319329
funneling,room_2_subnode_1,162.25047982726153,1.0422966925747612
funneling,room_2_subnode_2,101.24228365658294,1.0
funneling,room_2_subnode_3,345.30786086257507,3.123966763526918
funneling,room_2_subnode_4,398.9753322018913,2.3314356384205213
funneling,room_2_subnode_5,218.68628406535137,1.081532424133365
funneling,room_2_subnode_6,158.48737078202979,1.0326060608370387
funneling,room_2_subnode_7,161.45025655054442,1.3623160325728227
funneling,room_2_subnode_8,219.52779093347084,2.1288309677992596
funneling,room_2_subnode_9,278.07691560668866,2.1787349266257805
funneling,room_2_subnode_10,342.57497759307705,2.095034497139105
funneling,room_2_subnode_11,401.9887807031288,1.8602619033943142
funneling,room_2_subnode_12,218.42900906461261,1.0342681450952023
funneling,room_2_subnode_13,216.92096954397908,1.2468781743428972
funneling,room_2_subnode_14,223.19165271227695,1.358980802996568
funneling,room_2_subnode_15,338.54178143801255,1.801110908087848
funneling,room_2_subnode_16,399.83615312090035,1.8064784004246726
funneling,room_2_subnode_17,281.958529761687,1.0310389799310433
funneling,room_2_subnode_18,279.7233807475004,1.1668417190401816
funneling,room_2_subnode_19,275.52131083991355,1.282118691733063
funneling,room_2_subnode_20,279.5920073210913,1.3499143985258506
funneling,room_2_subnode_21,336.1605498160151,1.500447631158109
funneling,room_2_subnode_22,398.08168402442925,1.6085585610190576
funneling,room_2_subnode_23,459.1144621030978,1.6112354352966156
funneling,room_2_subnode_24,339.664681946701,1.126472718217047
funneling,room_2_subnode_25,333.6590782549081,1.2265551656367524
funneling,room_2_subnode_26,337.1086472005648,1.2923630984493624
funneling,room_2_subnode_27,339.5336456036741,1.2942247671353835
funneling,room_2_subnode_28,395.23677176698277,1.406973177376556
funneling,room_2_subnode_29,460.2444636195628,1.484304358024606
funneling,room_3_subnode_1,2238.3242223190955,1.0062444995270472
funneling,room_3_subnode_2,2228.2816883737396,1.0035432439218106
funneling,room_3_subnode_3,2248.840354098372,1.023514993485552
funneling,room_8_subnode_1,369.1053696499396,1.0
funneling,room_10_subnode_1,2333.2050670374,1.0201466154040786
funneling,room_10_subnode_2,2272.7898371694273,1.0040001023650313
funneling,room_10_subnode_3,2216.986611456213,1.0
funneling,room_11_subnode_1,476.47463558085906,1.0
funneling,room_12_subnode_1,609.0691884694077,1.0
funneling,room_15_subnode_1,1744.614475164206,1.0
funneling,room_15_subnode_2,1803.6229491319336,1.0276718545392183
funneling,room_15_subnode_3,1800.4177008774207,1.0017641460907494
funneling,room_15_subnode_4,1849.6089064254402,1.0204674440289783
funneling,room_15_subnode_5,1869.0179924219906,1.0115343917977995
funneling,room_15_subnode_6,1858.7416882454932,1.007362431374583
funneling,room_17_subnode_1,2070.4986035037914,1.0
funneling,room_18_subnode_1,1612.6673795939419,1.029278856023227
funneling,room_18_subnode_2,1549.595991469056,1.0281130064292714
funneling,room_18_subnode_3,1491.595991469056,1.0245161213804717
funneling,room_18_subnode_4,1608.0773754970648,1.0181758047638976
funneling,room_18_subnode_5,1546.004837285711,1.018700178418396
funneling,room_18_subnode_6,1486.9709487131292,1.0184122750009974
funneling,room_18_subnode_7,1433.7946074025824,1.0185291259265805
funneling,room_18_subnode_8,1376.8373105020069,1.017035961873093
funneling,room_18_subnode_9,1611.5793156971604,1.0013077012075022
funneling,room_18_subnode_10,1546.5716238445805,1.0013167255443485
funneling,room_18_subnode_11,1494.5716238445805,1.0013337250844134
funneling,room_18_subnode_12,1431.5002357196945,1.0013923975185988
funneling,room_18_subnode_13,1372.5002357196945,1.001384987761715
funneling,room_18_subnode_14,1309.3021344823946,1.0
funneling,room_18_subnode_15,1489.2976064775714,1.0970884529695082
funneling,room_18_subnode_16,1544.3259687492389,1.0910265375008916
funneling,room_18_subnode_17,1599.5527738351752,1.0876438514415832
funneling,room_18_subnode_18,1544.3094901255074,1.0134114674335302
funneling,room_18_subnode_19,1481.3094901255074,1.0124967625101051
funneling,room_18_subnode_20,1427.9709487131292,1.0085852115313292
funneling,room_18_subnode_21,1364.7728474758292,1.0035301395711709
funneling,room_18_subnode_22,1363.1259210455862,1.0267768513122542
funneling,room_18_subnode_23,1423.532874287742,1.0505894431456366
funneling,room_18_subnode_24,1485.734160448078,1.059768682242002
funneling,room_18_subnode_25,1543.9492787593895,1.059422847443157
funneling,room_18_subnode_26,1601.3774948208345,1.0605024347111542
funneling,room_18_subnode_27,1659.6870137692874,1.058535739903606
funneling,room_18_subnode_28,1481.2062753299538,1.0135386725382822
funneling,room_18_subnode_29,1425.8301975657243,1.0045693837712375
funneling,room_18_subnode_30,1427.3827508458235,1.0255355507128237
funneling,room_18_subnode_31,1421.7262623415206,1.028615624964132
funneling,room_18_subnode_32,1482.3631386080729,1.0488232982466235
funneling,room_18_subnode_33,1540.5009060230675,1.0609827684653856
funneling,room_18_subnode_34,1596.9367102611573,1.062810370403235
funneling,room_18_subnode_35,1658.0104361995673,1.065719349115509
funneling,room_18_subnode_36,1717.018910167295,1.0662139422613013
funneling,room_18_subnode_37,1485.5205182608179,1.024760473124037
funneling,room_18_subnode_38,1482.1414922094934,1.0325410888424091
funneling,room_18_subnode_39,1484.40799811838,1.0297733275690528
funneling,room_18_subnode_40,1539.6693337356505,1.0472058000722588
funneling,room_18_subnode_41,1599.702657814865,1.0586005915841772
funneling,room_18_subnode_42,1653.1594814486398,1.0626793704242377
funneling,room_18_subnode_43,1713.6904652503258,1.063850130588722
funneling,room_18_subnode_44,1543.882888371226,1.0345280396608416
