floor,src,dst,d_graph_px,d_geo_full_px,d_geo_interior_px,d_euclid_px,stretch_full,stretch_interior,geo_over_euclid
FF part 2up,room_1,exit_door_1,3028.939259230003,884.877200360026,,796.0014133153283,3.423005201171001,,1.1116528005578936
FF part 2up,room_1,exit_door_2,3041.870869730628,1110.641702347844,2776.3961030678975,896.792757553271,2.738840855066271,1.0956184769058648,1.2384597143469571
FF part 2up,room_1,exit_door_3,2947.762778751268,1073.1858582251282,,881.7659836940865,2.7467402371723195,,1.2170869347092568
FF part 2up,room_1,exit_door_4,2830.6998030392415,676.877200360026,,587.0019165215732,4.181999041382415,,1.153109012609416
FF part 2up,room_1,exit_door_5,2911.018261346972,750.877200360026,,662.0047205269763,3.876823347347895,,1.1342475016829252
FF part 2up,room_1,exit_door_6,2758.645315258361,574.3919189857874,,487.03105650461345,4.802723060814197,,1.1793743156918093
FF part 2up,room_1,exit_door_7,2371.1490956504995,377.3380951166245,,339.2362745933872,6.283884734504859,,1.1123164690123621
FF part 2up,room_1,exit_door_8,2769.46189749724,1211.6366517139616,2595.543289325511,1004.5129416787023,2.2857198101259186,1.0670066297437575,1.206193172274239
FF part 2up,room_1,exit_door_9,2137.3051844478855,654.8082245892141,,588.0214706964364,3.2640170116810885,,1.1135787674788087
FF part 2up,room_1,exit_door_10,1833.5662588282607,767.4844148224641,1791.2001435750035,737.1134580239327,2.389059925408915,1.023652362582274,1.0412025536475082
FF part 2up,room_2,exit_door_1,3032.8579129290183,951.7056274847723,,865.0013005770569,3.1867605122231404,,1.1002360653676169
FF part 2up,room_2,exit_door_2,3045.7895234296434,1177.4701294725905,2778.0529573173894,964.2345409701936,2.5867233887231653,1.0963756163852225,1.2211449387488686
FF part 2up,room_2,exit_door_3,2951.6814324502834,1140.0142853498746,,949.8390653158039,2.5891617941826066,,1.2002183601185545
FF part 2up,room_2,exit_door_4,2834.618456738257,743.7056274847723,,656.0017149367827,3.8114791013818126,,1.1336946391313039
FF part 2up,room_2,exit_door_5,2914.9369150459875,817.7056274847723,,731.0042749533001,3.5647754119195794,,1.1186058077936838
FF part 2up,room_2,exit_door_6,2762.5639689573763,641.2203461105337,,556.0272025719605,4.3082911914981015,,1.1532175820616395
FF part 2up,room_2,exit_door_7,2375.067749349515,444.1665222413708,,403.4355586707746,5.347246202537629,,1.1009602715853684
FF part 2up,room_2,exit_door_8,2773.3805511962555,1278.465078838708,2597.200143575003,1071.4211356884837,2.1693048931109264,1.0678347442945784,1.1932423547134714
FF part 2up,room_2,exit_door_9,2141.223838146902,721.6366517139609,,646.9654163863784,2.967177225631869,,1.1154176613406297
FF part 2up,room_2,exit_door_10,1837.4849125272767,806.680374315358,1792.8569978244957,783.2683129043329,2.277835151359395,1.024892065991283,1.0298902190032608
FF part 2up,room_2,room_26,719.1594151503105,676.4507934888328,676.4507934888328,668.9402065954774,1.0631363316778824,1.0631363316778824,1.0112275907761323
FF part 2up,room_3,exit_door_1,3060.058866015284,831.362481734264,,732.5,3.6807757545563606,,1.1349658453710088
FF part 2up,room_3,exit_door_2,3072.9904765159094,1057.126983722082,2817.876333808252,834.6000539180428,2.9069265318496464,1.0905341869147538,1.2666270254349772
FF part 2up,room_3,exit_door_3,2978.8823855365495,1019.6711395993663,,818.9836689458466,2.9214148266537845,,1.245044532953672
FF part 2up,room_3,exit_door_4,2861.8194098245226,623.362481734264,,523.5,4.590939451252539,,1.1907592774293485
FF part 2up,room_3,exit_door_5,2942.137868132253,697.362481734264,,598.5008354213049,4.218950610614266,,1.1651821358668062
FF part 2up,room_3,exit_door_6,2789.764922043642,520.8772003600253,,423.51888977942883,5.355897551506158,,1.2298794998997595
FF part 2up,room_3,exit_door_7,2402.2687024357806,323.82337649086264,,281.4467089876874,7.418453628852102,,1.1505672873404575
FF part 2up,room_3,exit_door_8,2800.5815042825216,1158.1219330881995,2637.023520065866,942.8023387752069,2.418209537586952,1.0620237108133834,1.2283825415544831
FF part 2up,room_3,exit_door_9,2168.424791233167,616.0386719675134,,535.005841089609,3.5199491361599424,,1.1514615816396891
FF part 2up,room_3,exit_door_10,1864.685865613542,728.7148622007635,1832.6803743153584,696.7634103481612,2.5588689929859214,1.017463760591718,1.0458569600212455
FF part 2up,room_4,exit_door_1,3011.6344531093155,,,919.3008212766917,,,
FF part 2up,room_4,exit_door_2,3024.5660636099406,,,1004.4481071712963,,,
FF part 2up,room_4,exit_door_3,2930.4579726305806,,,993.4732004437765,,,
FF part 2up,room_4,exit_door_4,2813.394996918554,,,710.9774961276904,,,
