floor,src,dst,d_graph_px,d_geo_full_px,d_geo_interior_px,d_euclid_px,stretch_full,stretch_interior,geo_over_euclid
FF part 1upE,room_1,exit_door_1,738.4232395200199,736.097546470559,736.097546470559,413.1688516817307,1.003159490288498,1.003159490288498,1.7815901258635645
FF part 1upE,room_1,exit_door_2,3606.826295455278,3563.59206256079,3593.175756957362,1658.0568446226443,1.0121322059695632,1.003799017755111,2.149258075269322
FF part 1upE,room_1,room_31,2001.815703608032,2001.445742854949,2001.445742854949,1261.8478513671923,1.000184846756103,1.000184846756103,1.5861228758177255
FF part 1upE,room_1,room_21,1282.6364194375267,1281.6122650963202,1281.6122650963202,932.6849682502661,1.000799114029335,1.000799114029335,1.3741105611476168
FF part 1upE,room_2,exit_door_1,481.3778495115593,462.59292911256307,462.59292911256307,448.6593919667792,1.040607884852527,1.040607884852527,1.031055935516481
FF part 1upE,room_2,exit_door_2,3326.349447941741,3284.523953341753,3284.523953341753,1453.2898024826295,1.012734111607691,1.012734111607691,2.260061240181317
FF part 1upE,room_2,room_15,789.7096155136105,736.1665222413706,736.1665222413706,521.5086288835497,1.0727323121258217,1.0727323121258217,1.4116094757959468
FF part 1upE,room_3,exit_door_1,3412.7489520212716,3340.371716450256,3340.371716450256,1327.1823537102955,1.0216674195912332,1.0216674195912332,2.5168897906997114
FF part 1upE,room_3,exit_door_2,888.0294793025322,861.8965363437825,861.8965363437825,601.931889834722,1.030320278428786,1.030320278428786,1.4318838242320762
FF part 1upE,room_4,exit_door_1,463.2295649855929,420.22539674441606,420.22539674441606,434.51409643416633,1.1023359572608893,1.1023359572608893,0.9671156820756558
FF part 1upE,room_4,exit_door_2,3223.2351114620483,3165.837661840738,3165.837661840738,1420.9498583693937,1.0181302567447308,1.0181302567447308,2.2279728191631505
FF part 1upE,room_4,room_16,3135.000597471525,,,768.5507465353215,,,
FF part 1upE,room_4,room_21,899.0452354442967,854.274169979695,854.274169979695,698.6896664471287,1.052408309928961,1.052408309928961,1.2226804130705426
FF part 1upE,room_4,room_7,379.2061956975866,351.6467529817254,351.6467529817254,340.03676271838606,1.0783725215210318,1.0783725215210318,1.0341433384158953
FF part 1upE,room_5,exit_door_1,3429.498715830789,3365.1656556895964,3365.1656556895964,1009.6516726079346,1.0191173531182403,1.0191173531182403,3.332996663094074
FF part 1upE,room_5,exit_door_2,951.642158122202,937.0681092190359,937.0681092190359,864.5660761329929,1.015552817089584,1.015552817089584,1.0838594470538656
FF part 1upE,room_6,exit_door_1,3405.9824145306206,3344.7636354360434,3344.7636354360434,1644.874653279088,1.0183028715231164,1.0183028715231164,2.0334459095519497
FF part 1upE,room_6,exit_door_2,723.2730430796487,679.0437226013958,679.0437226013958,353.0624944680474,1.0651347166701015,1.0651347166701015,1.9232961111445668
FF part 1upE,room_7,exit_door_1,494.93328215694373,439.74011537017753,439.74011537017753,145.95375980083554,1.1255131493752941,1.1255131493752941,3.0128728165018477
FF part 1upE,room_7,exit_door_2,3151.5073711283217,3110.6904755831233,3110.6904755831233,1722.2655137928066,1.0131214905068775,1.0131214905068775,1.8061619713517345
FF part 1upE,room_7,room_18,711.7314951755382,666.8183258569794,666.8183258569794,526.3278445987823,1.0673544315999974,1.0673544315999974,1.2669258005251316
FF part 1upE,room_8,exit_door_1,519.1559236705053,477.01933598375615,477.01933598375615,448.45122365760136,1.0883330810895768,1.0883330810895768,1.063703945533142
FF part 1upE,room_8,exit_door_2,3126.0243851571117,3077.210244842768,3077.210244842768,1397.638186370135,1.0158631151043882,1.0158631151043882,2.201721643592696
FF part 1upE,room_8,room_28,1040.8216717100465,987.5391052434009,987.5391052434009,755.6206058598456,1.053954892706262,1.053954892706262,1.3069245300948982
FF part 1upE,room_9,exit_door_1,606.0749848344534,541.7401153701778,541.7401153701778,229.33054746369922,1.1187559636788478,1.1187559636788478,2.362267571248571
FF part 1upE,room_9,exit_door_2,3062.6490738058314,3004.6904755831233,3004.6904755831233,1711.2564097761622,1.019289373961709,1.019289373961709,1.7558388435641543
FF part 1upE,room_9,room_33,2354.9509925208404,2266.406204335661,2266.406204335661,1079.8672372102044,1.039068366480727,1.039068366480727,2.0987822634482685
FF part 1upE,room_10,exit_door_1,630.1007245953601,579.3624817342637,579.3624817342637,480.9417844188629,1.087575989921226,1.087575989921226,1.2046416021729651
FF part 1upE,room_10,exit_door_2,3036.969186081966,2971.5533905932757,2971.5533905932757,1385.7402353976736,1.022014006443825,1.022014006443825,2.144379815702264
FF part 1upE,room_10,room_34,974.4909289368468,924.5096679918781,924.5096679918781,749.57354542433,1.0540624535095806,1.0540624535095806,1.2333808652071863
FF part 1upE,room_11,exit_door_1,706.8983172680308,643.7401153701778,643.7401153701778,322.6491902980697,1.098111334667305,1.098111334667305,1.9951704040399978
FF part 1upE,room_11,exit_door_2,2963.4724062394084,2901.5189027078695,2901.5189027078695,1706.6905109011416,1.0213520937167495,1.0213520937167495,1.7000849797751862
FF part 1upE,room_12,exit_door_1,729.5899266759371,668.4751801064717,668.4751801064717,530.0023584853185,1.091424107264134,1.091424107264134,1.2612683121201413
FF part 1upE,room_12,exit_door_2,2936.4583881625426,2856.666088965484,2856.666088965484,1381.7353219774038,1.0279319656943016,1.0279319656943016,2.0674481165302367
FF part 1upE,room_12,room_11,339.54169376678476,308.5685424949237,308.5685424949237,325.0,1.100376892023498,1.100376892023498,0.9494416692151498
FF part 1upE,room_13,exit_door_1,3120.3719272159274,3037.033621333631,3037.033621333631,1570.6563118645659,1.027440692555027,1.027440692555027,1.9336080072974662
FF part 1upE,room_13,exit_door_2,481.55496375329466,428.02438661763944,428.02438661763944,305.25276411524925,1.125064315981311,1.125064315981311,1.4021965955271
FF part 1upE,room_13,room_24,2236.180882057332,2161.0092347159907,2161.0092347159907,1129.7912417787634,1.0347854354964017,1.0347854354964017,1.9127509178719242
FF part 1upE,room_14,exit_door_1,828.1467239348085,749.3969696196701,749.3969696196701,418.57645657633446,1.1050841643449734,1.1050841643449734,1.7903466806260877
FF part 1upE,room_14,exit_door_2,2844.720812906186,2800.3473298326157,2800.3473298326157,1708.1473150756055,1.0158457069238702,1.0158457069238702,1.639406218139135
FF part 1upE,room_15,exit_door_1,852.027992978046,789.0193359837562,789.0193359837562,594.4005383577643,1.0798569238049536,1.0798569238049536,1.3274202916499591
FF part 1upE,room_15,exit_door_2,2818.896454464652,2769.210244842768,2769.210244842768,1382.0365407614952,1.01794237534489,1.01794237534489,2.003717096594962
FF part 1upE,room_15,room_17,394.8934233550451,369.0193359837559,369.0193359837559,343.43048787200007,1.070115803829933,1.070115803829933,1.0745095412766412
FF part 1upE,room_16,exit_door_1,3300.433311415653,,,1155.1680613659641,,,
FF part 1upE,room_16,exit_door_2,826.4691616954053,,,744.9565423566665,,,
FF part 1upE,room_16,room_33,1173.3295216375714,,,490.5838358527521,,,
FF part 1upE,room_17,exit_door_1,914.9591668117966,852.5685424949239,852.5685424949239,522.1115781133377,1.0731795993015356,1.0731795993015356,1.6329240304834842
FF part 1upE,room_17,exit_door_2,2731.533255783174,2695.5189027078695,2695.5189027078695,1716.1248497705521,1.0133608237876295,1.0133608237876295,1.5707009330167694
FF part 1upE,room_17,room_9,588.9404152114524,523.1959594928936,523.1959594928936,309.0,1.1256593338034977,1.1256593338034977,1.6931908074203676
FF part 1upE,room_18,exit_door_1,948.891949453392,877.3036072312179,877.3036072312179,670.373403410368,1.08160041932132,1.08160041932132,1.3086790179445378
FF part 1upE,room_18,exit_door_2,2715.7604109399977,2650.666088965484,2650.666088965484,1393.371630255188,1.0245577223949467,1.0245577223949467,1.9023396424972638
