601,42,666,42,666,80,601,80
1305,133,1388,133,1388,168,1305,168
1554,155,1615,155,1615,181,1554,181
938,168,1003,168,1003,197,938,197
382,173,446,173,446,203,382,203
1190,179,1254,179,1254,208,1190,208
615,187,663,187,663,214,615,214
1374,195,1441,195,1441,222,1374,222
1190,278,1254,278,1254,307,1190,307
1554,294,1618,294,1618,323,1554,323
379,395,441,395,441,422,379,422
607,398,671,398,671,425,607,425
1551,411,1615,411,1615,441,1551,441
43,431,126,436,125,473,41,468
1567,529,1615,529,1615,559,1567,559
1554,535,1570,535,1570,556,1554,556
1559,620,1623,620,1623,647,1559,647
856,671,938,671,938,708,856,708
283,714,334,714,334,743,283,743
272,719,286,719,286,740,272,740
205,858,270,858,270,888,205,888
703,928,757,928,757,952,703,952
157,954,219,954,219,981,157,981
353,1005,395,1005,395,1029,353,1029
1214,1024,1267,1024,1267,1045,1214,1045
1412,1040,1468,1040,1468,1064,1412,1064
