floor,category,fraction,n_removed,draw,completeness,exit_reachability,n_components
FF part 3up,random-all,0.0,0,0,1.0,1.0,2
FF part 3up,random-all,0.1,4,0,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,1,1.0,1.0,2
FF part 3up,random-all,0.1,4,2,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,3,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,4,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,5,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,6,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,7,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,8,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,9,1.0,1.0,2
FF part 3up,random-all,0.1,4,10,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,11,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,12,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.1,4,13,0.7301587301587301,0.8571428571428571,6
FF part 3up,random-all,0.1,4,14,0.9285714285714286,0.9642857142857143,3
FF part 3up,random-all,0.1,4,15,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,16,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,17,0.9285714285714286,0.9642857142857143,3
FF part 3up,random-all,0.1,4,18,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.1,4,19,0.9285714285714286,0.9642857142857143,3
FF part 3up,random-all,0.2,8,0,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,1,0.5555555555555556,0.75,9
FF part 3up,random-all,0.2,8,2,0.6693121693121693,0.8214285714285714,7
FF part 3up,random-all,0.2,8,3,0.7301587301587301,0.8571428571428571,6
FF part 3up,random-all,0.2,8,4,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.2,8,5,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,6,0.7301587301587301,0.8571428571428571,6
FF part 3up,random-all,0.2,8,7,0.7301587301587301,0.8571428571428571,6
FF part 3up,random-all,0.2,8,8,0.8597883597883598,0.9285714285714286,4
FF part 3up,random-all,0.2,8,9,0.6693121693121693,0.8214285714285714,7
FF part 3up,random-all,0.2,8,10,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,11,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,12,0.6693121693121693,0.8214285714285714,7
FF part 3up,random-all,0.2,8,13,0.7301587301587301,0.8571428571428571,6
FF part 3up,random-all,0.2,8,14,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,15,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,16,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,17,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.2,8,18,0.6693121693121693,0.8214285714285714,7
FF part 3up,random-all,0.2,8,19,0.7936507936507936,0.8928571428571429,5
FF part 3up,random-all,0.3,13,0,0.4523809523809524,0.6785714285714286,11
FF part 3up,random-all,0.3,13,1,0.6111111111111112,0.7857142857142857,8
FF part 3up,random-all,0.3,13,2,0.6111111111111112,0.7857142857142857,8
FF part 3up,random-all,0.3,13,3,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,4,0.6190476190476191,0.7857142857142857,6
FF part 3up,random-all,0.3,13,5,0.5026455026455027,0.7142857142857143,10
FF part 3up,random-all,0.3,13,6,0.46825396825396826,0.6785714285714286,8
FF part 3up,random-all,0.3,13,7,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,8,0.5026455026455027,0.7142857142857143,10
FF part 3up,random-all,0.3,13,9,0.6111111111111112,0.7857142857142857,8
FF part 3up,random-all,0.3,13,10,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,11,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,12,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,13,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,14,0.5555555555555556,0.75,9
FF part 3up,random-all,0.3,13,15,0.3333333333333333,0.5714285714285714,11
FF part 3up,random-all,0.3,13,16,0.6111111111111112,0.7857142857142857,8
FF part 3up,random-all,0.3,13,17,0.5185185185185185,0.14285714285714285,7
FF part 3up,random-all,0.3,13,18,0.6111111111111112,0.7857142857142857,8
FF part 3up,random-all,0.3,13,19,0.7301587301587301,0.8571428571428571,6
FF part 3up,random-all,0.4,17,0,0.3253968253968254,0.5714285714285714,12
FF part 3up,random-all,0.4,17,1,0.5555555555555556,0.75,9
FF part 3up,random-all,0.4,17,2,0.5026455026455027,,11
FF part 3up,random-all,0.4,17,3,0.6111111111111112,0.7857142857142857,8
FF part 3up,random-all,0.4,17,4,0.5026455026455027,0.7142857142857143,10
FF part 3up,random-all,0.4,17,5,0.2857142857142857,,14
FF part 3up,random-all,0.4,17,6,0.4523809523809524,0.6785714285714286,11
FF part 3up,random-all,0.4,17,7,0.4523809523809524,0.6785714285714286,11
FF part 3up,random-all,0.4,17,8,0.36772486772486773,0.6071428571428571,11
FF part 3up,random-all,0.4,17,9,0.5026455026455027,0.7142857142857143,10
FF part 3up,random-all,0.4,17,10,0.4523809523809524,0.6785714285714286,11
FF part 3up,random-all,0.4,17,11,0.3253968253968254,0.5714285714285714,12
FF part 3up,random-all,0.4,17,12,0.2222222222222222,0.4642857142857143,13
FF part 3up,random-all,0.4,17,13,0.4523809523809524,0.6785714285714286,11
FF part 3up,random-all,0.4,17,14,0.40476190476190477,0.6428571428571429,12
FF part 3up,random-all,0.4,17,15,0.29365079365079366,0.5357142857142857,12
FF part 3up,random-all,0.4,17,16,0.5555555555555556,0.75,9
FF part 3up,random-all,0.4,17,17,0.4523809523809524,0.6785714285714286,11
FF part 3up,random-all,0.4,17,18,0.4523809523809524,,12
FF part 3up,random-all,0.4,17,19,0.30423280423280424,0.17857142857142858,11
FF part 3up,random-all,0.5,21,0,0.29365079365079366,0.03571428571428571,12
FF part 3up,random-all,0.5,21,1,0.35978835978835977,0.6071428571428571,13
FF part 3up,random-all,0.5,21,2,0.31746031746031744,,15
FF part 3up,random-all,0.5,21,3,0.2857142857142857,,14
FF part 3up,random-all,0.5,21,4,0.35978835978835977,0.6071428571428571,13
FF part 3up,random-all,0.5,21,5,0.24338624338624337,0.5,15
FF part 3up,random-all,0.5,21,6,0.40476190476190477,0.6428571428571429,12
FF part 3up,random-all,0.5,21,7,0.35978835978835977,0.6071428571428571,13
FF part 3up,random-all,0.5,21,8,0.35978835978835977,0.6071428571428571,13
FF part 3up,random-all,0.5,21,9,0.4523809523809524,,12
FF part 3up,random-all,0.5,21,10,0.1984126984126984,0.42857142857142855,13
FF part 3up,random-all,0.5,21,11,0.40476190476190477,0.6428571428571429,12
FF part 3up,random-all,0.5,21,12,0.2222222222222222,0.14285714285714285,14
FF part 3up,random-all,0.5,21,13,0.31746031746031744,0.5714285714285714,14
FF part 3up,random-all,0.5,21,14,0.31746031746031744,0.5714285714285714,14
FF part 3up,random-all,0.5,21,15,0.12962962962962962,0.17857142857142858,15
FF part 3up,random-all,0.5,21,16,0.2777777777777778,0.5357142857142857,15
FF part 3up,random-all,0.5,21,17,0.35978835978835977,0.6071428571428571,13
FF part 3up,random-all,0.5,21,18,0.2566137566137566,0.5,13
FF part 3up,random-all,0.5,21,19,0.31746031746031744,0.5714285714285714,14
FF part 3up,r2c-only,0.0,0,0,1.0,1.0,2
FF part 3up,r2c-only,0.1,2,0,0.9285714285714286,0.9642857142857143,3
FF part 3up,r2c-only,0.1,2,1,0.8597883597883598,0.9285714285714286,4
FF part 3up,r2c-only,0.1,2,2,1.0,1.0,2
FF part 3up,r2c-only,0.1,2,3,0.8597883597883598,0.9285714285714286,4
FF part 3up,r2c-only,0.1,2,4,0.8597883597883598,0.9285714285714286,4
FF part 3up,r2c-only,0.1,2,5,0.8597883597883598,0.9285714285714286,4
FF part 3up,r2c-only,0.1,2,6,0.8597883597883598,0.9285714285714286,4
