Node_ID	Position	Filled_Area
outside_main_1	(543.0, 36.5)	1265750
outside_main_2	(392.0, 647.0)	282
corridor_main_1	(119.5, 691.0)	912076
corridor_main_2	(620.5, 720.5)	68688
corridor_main_3	(859.5, 727.0)	475960
room_1	(106.0, 122.5)	-175
room_2	(243.5, 122.5)	-3675
room_3	(385.5, 122.5)	-7175
room_4	(456.5, 121.5)	-8850
room_5	(44.5, 123.5)	1225
room_6	(178.5, 123.5)	-1950
room_7	(320.5, 124.5)	-5375
room_8	(833.5, 134.5)	15228
room_9	(420.0, 248.5)	145516
room_10	(807.5, 280.5)	249885
room_11	(699.5, 281.5)	172110
room_12	(541.5, 282.0)	159103
room_13	(976.0, 288.5)	74011
room_14	(361.0, 324.5)	236751
room_15	(806.5, 338.5)	0
room_16	(1019.5, 485.0)	267112
room_17	(207.0, 494.0)	5984
room_18	(883.5, 528.5)	651167
room_19	(676.5, 539.5)	23100
room_20	(867, 668)	3771295
room_22	(766.5, 869.5)	24472
room_23	(252.5, 893.5)	445278
room_24	(1072.0, 945.5)	3694383
room_25	(967.0, 946.0)	1741136
room_26	(142.5, 949.5)	378508
room_27	(1020.0, 994.5)	0
room_28	(1061.0, 1037.5)	4218884
room_29	(965.5, 1049.0)	1910127
