1160,403,1199,403,1199,414,1160,414 | 0022
1038,478,1085,478,1085,499,1038,499 | 00211
292,492,339,492,339,510,292,510 | 00117
556,492,617,492,617,514,556,514 | 10013
878,506,914,506,914,521,878,521 | 0019
724,531,771,531,771,549,724,549 | 0017
535,606,581,606,581,628,535,628 | 0014
614,621,667,621,667,642,614,642 | 10016
531,681,581,681,581,703,531,703 | 10015
1767,699,1806,699,1806,717,1767,717 | 0028
299,878,342,878,342,899,299,899 | 0036
2038,903,2074,903,2074,917,2038,917 | 0027
889,935,924,935,924,946,889,946 | 0030
1735,956,1778,956,1778,978,1735,978 | 0026
642,1067,685,1067,685,1085,642,1085 | 00311
764,1081,824,1081,824,1099,764,1099 | 100401
