Node_ID	Position	Filled_Area
outside_main_1	(271.5, 116.5)	438528
corridor_main_1	(489.5, 342.5)	270394
corridor_main_2	(656.5, 474.5)	13214
corridor_main_3	(459.5, 560.5)	0
corridor_main_4	(1472.0, 841.0)	203719
corridor_main_5	(1067.0, 1021.5)	0
room_1	(1462.0, 56.5)	5428
room_2	(1531.0, 56.5)	5521
room_3	(1398.5, 58.0)	5479
room_4	(1583.0, 123.0)	2845
room_5	(1330.0, 125.5)	4878
room_6	(690.0, 141.5)	16822
room_7	(1320.0, 216.5)	6283
room_8	(1092.0, 218.5)	29322
room_9	(1312.5, 305.0)	5710
room_10	(292.5, 318.5)	36912
room_11	(817.5, 376.5)	69984
room_12	(1306.0, 385.0)	6373
room_13	(608.0, 402.0)	3939
room_14	(1297.5, 460.5)	8157
room_15	(326.0, 466.0)	9984
room_16	(1557.0, 475.5)	4609
room_17	(231.0, 490.5)	6706
room_18	(1265.0, 543.5)	5120
room_19	(1553.0, 554.5)	3795
room_20	(771.5, 589.0)	9444
room_21	(582.0, 600.5)	8546
room_22	(281.0, 607.0)	33256
room_23	(1257.5, 622.5)	5983
room_24	(1556.0, 636.5)	3919
room_25	(1249.0, 714.0)	7009
room_26	(1422.0, 716.5)	9135
room_27	(1548.0, 717.5)	3628
room_28	(921.0, 761.5)	44003
room_29	(297.5, 775.0)	25669
room_30	(1245.0, 785.5)	8010
room_31	(704.0, 804.0)	74610
room_32	(188.0, 893.5)	10752
room_33	(1260.0, 893.5)	24460
room_34	(351.0, 897.5)	6375
room_35	(83.0, 913.5)	12692
