Node_ID	Position	Filled_Area
outside_main_1	(633.5, 61.0)	136028
corridor_main_1	(1346.5, 150.5)	28537
corridor_main_2	(83.75, 452.0)	280524
corridor_main_3	(897.0, 689.5)	564006
room_1	(1584.5, 168.0)	18204
room_2	(970.5, 182.5)	110811
room_3	(414.0, 188.0)	17186
room_4	(1222.0, 193.5)	10482
room_5	(639.0, 200.5)	20774
room_6	(1407.5, 208.5)	0
room_7	(1222.0, 292.5)	6838
room_8	(1586.0, 308.5)	13677
room_9	(410.0, 408.5)	13661
room_10	(639.0, 411.5)	18386
room_11	(1583.0, 426.0)	13693
room_12	(1576, 544)	13810
room_14	(1591.0, 633.5)	12195
room_15	(293, 729)	29845
room_17	(237.5, 873.0)	13207
room_18	(730.0, 940.0)	161909
room_19	(188.0, 967.5)	14378
room_20	(374.0, 1017.0)	34797
room_21	(1240.5, 1034.5)	30805
room_22	(1440.0, 1052.0)	6098
