1436,44,1488,44,1488,69,1436,69
1506,44,1556,44,1556,69,1506,69
1374,47,1423,47,1423,69,1374,69
234,94,309,94,309,139,234,139
1573,112,1593,112,1593,134,1573,134
1311,114,1349,114,1349,137,1311,137
665,129,715,129,715,154,665,154
1296,204,1344,204,1344,229,1296,229
1067,206,1117,206,1117,231,1067,231
1289,294,1336,294,1336,316,1289,316
269,306,316,306,316,331,269,331
463,331,516,331,516,354,463,354
793,364,842,364,842,389,793,389
1281,374,1331,374,1331,396,1281,396
588,391,628,391,628,413,588,413
1271,448,1324,448,1324,473,1271,473
301,456,351,456,351,476,301,476
638,466,675,466,675,483,638,483
1533,463,1581,463,1581,488,1533,488
206,478,256,478,256,503,206,503
1239,531,1291,531,1291,556,1239,556
418,543,501,543,501,578,418,578
1528,543,1578,543,1578,566,1528,566
748,578,795,578,795,600,748,600
556,588,608,588,608,613,556,613
256,596,306,596,306,618,256,618
1231,610,1284,610,1284,635,1231,635
1531,625,1581,625,1581,648,1531,648
1224,703,1274,703,1274,725,1224,725
1398,708,1446,708,1446,725,1398,725
1523,705,1573,705,1573,730,1523,730
895,750,947,750,947,773,895,773
274,765,321,765,321,785,274,785
1219,773,1271,773,1271,798,1219,798
680,793,728,793,728,815,680,815
1431,822,1513,822,1513,860,1431,860
162,882,214,882,214,905,162,905
1234,882,1286,882,1286,905,1234,905
326,885,376,885,376,910,326,910
57,902,109,902,109,925,57,925
1027,1004,1107,1004,1107,1039,1027,1039
